state;county_id;precinct_name;office_id;office_name;district;candidate_order_code;candidate_name;suffix;incumbent_code;party_affiliation;county_num_precincts_reporting;county_total_num_precincts_voting;candidate_votes;candidate_percent_vote;total_race_votes
MN;61;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;LARRY KITTELSON                                ;NA;NA;NP;30;30;213;30.34;NA
MN;61;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;RICHARD A. ENGEBRETSON                         ;NA;NA;NP;30;30;167;23.79;NA
MN;61;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;PAUL F. FREEMAN                                ;NA;NA;NP;30;30;144;20.51;NA
MN;62;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;RICHARD A. BOKOVOY                             ;NA;NA;NP;193;193;966;11.28;NA
MN;62;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;TONY L. BENNETT                                ;NA;NA;NP;193;193;5432;63.41;NA
MN;62;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;DAVID L CHRISTIANSON                           ;NA;NA;NP;193;193;2168;25.31;NA
MN;62;NA;NA;COUNTY COMMISSIONER DISTRICT 6;NA;NA;DINO P. GUERIN                                 ;NA;NA;NP;193;193;1165;15.47;NA
MN;62;NA;NA;COUNTY COMMISSIONER DISTRICT 6;NA;NA;STEVE TRIMBLE                                  ;NA;NA;NP;193;193;3987;52.93;NA
MN;62;NA;NA;COUNTY COMMISSIONER DISTRICT 6;NA;NA;JIM MCDONOUGH                                  ;NA;NA;NP;193;193;2381;31.61;NA
MN;62;NA;NA;COUNTY COMMISSIONER DISTRICT 7;NA;NA;JAN STEINER                                    ;NA;NA;NP;193;193;2041;22.72;NA
MN;62;NA;NA;COUNTY COMMISSIONER DISTRICT 7;NA;NA;MICHAEL "MIKE" PITZEL                          ;NA;NA;NP;193;193;1644;18.3;NA
MN;62;NA;NA;COUNTY COMMISSIONER DISTRICT 7;NA;NA;VICTORIA A REINHARDT                           ;NA;NA;NP;193;193;5298;58.98;NA
MN;70;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;JON ULRICH                                     ;NA;NA;NP;35;35;638;44.03;NA
MN;70;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;ED MACKIE                                      ;NA;NA;NP;35;35;395;27.26;NA
MN;70;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;TOM WOLF                                       ;NA;NA;NP;35;35;416;28.71;NA
MN;71;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;LARRY THORESON                                 ;NA;NA;NP;24;24;239;20.39;NA
MN;71;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;TY BISCHOFF                                    ;NA;NA;NP;24;24;228;19.45;NA
MN;71;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;STEVE FOSTER                                   ;NA;NA;NP;24;24;81;6.91;NA
MN;71;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;RONALD "RON" BOLIN                             ;NA;NA;NP;24;24;102;8.7;NA
MN;71;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;LEANDER (LEE) SCHLOSSER                        ;NA;NA;NP;24;24;71;6.06;NA
MN;71;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;RACHEL S. LEONARD                              ;NA;NA;NP;24;24;451;38.48;NA
MN;74;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;BRUCE KUBICEK                                  ;NA;NA;NP;26;26;242;33.06;NA
MN;74;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;GARY WILSON                                    ;NA;NA;NP;26;26;329;44.95;NA
MN;74;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;DALE LOKEN                                     ;NA;NA;NP;26;26;161;21.99;NA
MN;74;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;DON JOACHIM                                    ;NA;NA;NP;26;26;46;7.93;NA
MN;74;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;LES ABRAHAM                                    ;NA;NA;NP;26;26;297;51.21;NA
MN;74;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;TOM SHEA                                       ;NA;NA;NP;26;26;237;40.86;NA
MN;75;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;RONALD STAPLES                                 ;NA;NA;NP;25;25;134;22.26;NA
MN;75;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;JAMES A. LARSON                                ;NA;NA;NP;25;25;163;27.08;NA
MN;75;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;BRUCE A. MALO                                  ;NA;NA;NP;25;25;98;16.28;NA
MN;75;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;NEAL HOFLAND                                   ;NA;NA;NP;25;25;183;30.4;NA
MN;75;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;THOMAS L GILLESPIE                             ;NA;NA;NP;25;25;24;3.99;NA
MN;75;NA;NA;COUNTY COMMISSIONER DISTRICT 4;NA;NA;GERALD (JERRY) LOHER                           ;NA;NA;NP;25;25;159;29.66;NA
MN;75;NA;NA;COUNTY COMMISSIONER DISTRICT 4;NA;NA;LARRY J. SAYRE                                 ;NA;NA;NP;25;25;267;49.81;NA
MN;75;NA;NA;COUNTY COMMISSIONER DISTRICT 4;NA;NA;DAVE GIBSON                                    ;NA;NA;NP;25;25;110;20.52;NA
MN;76;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;DOUGLAS D ANDERSON                             ;NA;NA;NP;30;30;259;42.88;NA
MN;76;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;RICHARD L CARLSON                              ;NA;NA;NP;30;30;24;3.97;NA
MN;76;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;DENNIS (FUZZY) GEYER                           ;NA;NA;NP;30;30;136;22.52;NA
MN;76;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;JEFF MUMM                                      ;NA;NA;NP;30;30;47;7.78;NA
MN;76;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;S CHARLES RUDI                                 ;NA;NA;NP;30;30;12;1.99;NA
MN;76;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;ELDON BENSON                                   ;NA;NA;NP;30;30;126;20.86;NA
MN;84;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;LYLE E. HOVLAND                                ;NA;NA;NP;31;31;111;32.17;NA
